number,alacrity,ability,observation,logical,result
222,63,71,63,77,10
223,97,72,73,77,7
224,80,98,81,65,5
225,86,83,72,65,11
226,95,64,78,84,7
227,80,61,85,75,4
228,67,81,93,96,2
229,86,76,63,94,8
230,79,85,64,67,12
231,79,82,87,97,2
232,79,62,77,86,8
233,61,78,84,62,6
234,64,85,72,76,9
235,72,68,84,85,2
236,100,84,66,86,7
237,72,61,85,79,1
238,65,66,97,81,1
239,70,98,71,81,9
240,76,86,86,68,5
241,76,63,80,80,1
242,97,88,70,96,7
243,61,62,74,81,2
244,77,64,83,80,1
245,86,86,69,81,11
246,87,99,81,63,12
247,80,77,96,92,1
248,70,95,66,70,12
249,82,82,85,88,2
250,97,82,90,99,8
251,70,64,71,79,2
252,65,62,76,62,4
253,98,92,96,76,3
254,100,92,75,83,11
255,84,64,73,95,8
256,60,94,82,85,9
257,88,98,67,96,9
258,91,60,85,95,8
259,84,97,63,79,12
260,94,77,73,68,11
261,62,66,70,66,6
262,91,87,76,66,11
263,69,79,71,72,9
264,91,74,67,96,8
265,85,99,71,98,9
266,75,93,82,80,5
267,90,69,85,92,8
268,90,69,100,79,4
269,79,92,80,82,9
270,100,63,61,66,7
271,79,78,99,98,1
272,74,89,82,62,5
273,83,64,62,97,8
274,70,62,95,66,4
275,89,85,71,61,11
276,97,60,76,85,7
277,75,63,78,94,2
278,89,65,72,62,3
279,67,65,91,75,1
280,94,82,62,61,11
281,76,89,94,97,2
282,75,95,89,72,5
283,92,100,68,91,12
284,61,60,95,94,1
285,98,75,67,64,11
286,70,81,65,79,9
287,100,84,70,64,11
288,76,74,76,99,8
289,79,72,76,76,3
290,69,68,68,94,8
291,77,95,66,77,12
292,91,65,95,62,4
293,91,93,78,77,12
294,80,87,73,100,10
295,83,92,81,79,12
296,84,79,66,83,7
297,88,71,70,91,8
298,63,89,65,61,5
299,91,77,83,80,3
300,66,74,64,99,10
301,64,93,72,63,5
302,64,75,97,66,6
303,80,97,86,62,5
304,97,91,75,79,11
305,92,71,95,84,4
306,79,73,75,97,8
307,60,87,97,86,6
308,86,74,64,93,8
309,66,80,78,90,10
310,82,63,81,94,8
311,89,97,66,86,12
312,70,66,88,99,2
313,64,60,87,65,1
314,79,74,63,99,8
315,78,88,78,92,10
316,98,89,95,98,7
317,76,94,85,60,5
318,63,76,78,85,2
319,82,86,88,72,6
320,92,69,71,100,8
321,98,98,88,90,11
322,90,75,88,80,3
323,89,99,84,83,12
324,89,100,80,61,12
325,65,78,62,83,10
326,63,67,94,93,1
327,82,86,62,89,10
328,69,96,70,79,9
329,66,82,71,70,5
330,81,85,85,85,5
331,97,74,62,73,11
332,95,66,99,99,1
333,95,93,70,74,11
334,60,64,92,68,1
335,100,74,66,98,7
336,96,74,73,95,7
337,86,89,76,82,12
338,90,95,88,93,9
339,96,89,75,92,7
340,74,79,96,63,6
341,85,64,70,84,7
342,66,68,76,70,1
343,63,85,99,86,1
344,62,62,89,90,2
345,71,81,61,72,9
346,89,68,72,70,3
347,61,100,96,65,5
348,98,82,89,64,3
349,84,73,68,90,8
350,99,70,67,99,7
351,66,94,90,92,9
352,65,75,90,74,6
353,93,69,91,82,3
354,87,77,60,86,7
355,70,83,61,67,12
356,61,94,66,62,5
357,76,77,86,84,1
358,79,73,77,78,7
359,99,92,80,85,11
360,70,96,98,64,6
361,76,74,75,74,3
362,95,93,61,81,11
363,69,82,90,89,1
364,79,94,97,97,1
365,92,65,98,64,4
366,78,67,78,76,3
367,69,61,84,97,2
368,97,74,65,86,7
369,71,77,76,76,5
370,69,82,100,92,1
371,72,95,93,84,5
372,80,98,95,64,5
373,70,84,89,69,6
374,63,82,74,94,10
375,80,84,92,65,6
376,99,96,84,66,11
377,68,88,62,68,12
378,73,95,93,94,9
379,69,65,77,89,2
380,98,100,75,62,12
381,62,65,63,86,10
382,88,79,86,61,3
383,80,66,79,72,3
384,67,99,73,71,5
385,60,71,65,98,10
386,91,69,80,72,3
387,88,65,100,68,4
388,68,97,72,91,9
389,83,76,86,70,4
390,86,84,95,96,2
391,93,80,65,76,11
392,84,68,69,66,3
393,70,65,72,90,2
394,87,68,69,68,3
395,73,91,61,80,9
396,84,97,67,96,9
397,65,97,71,61,5
398,79,74,68,70,11
399,97,62,69,87,7
400,64,69,83,100,2
401,76,76,71,80,8
402,68,61,69,98,2
403,89,73,60,91,8
404,88,80,85,81,3
405,94,69,71,74,7
406,85,73,87,79,4
407,72,63,60,70,7
408,64,99,89,93,9
409,81,74,71,63,11
410,73,99,99,90,5
411,85,87,98,80,6
412,79,74,89,96,2
413,71,75,84,70,6
414,68,100,67,90,9
415,71,71,91,64,4
416,64,70,77,77,1
417,100,70,77,81,7
418,68,86,94,61,6
419,92,91,97,84,4
420,92,77,60,60,11
421,93,94,78,60,12
422,67,83,72,90,10
423,77,61,69,93,8
424,71,93,63,86,9
425,99,86,69,67,11
426,82,97,93,87,5
427,92,92,74,90,11
428,76,88,82,90,10
429,90,67,92,87,4
430,79,70,93,67,4
431,73,89,83,88,9
432,79,67,80,74,4
433,64,62,96,69,1
434,64,100,93,87,5
435,63,85,100,99,1
436,86,88,62,97,10
437,72,68,81,100,2
438,83,86,91,77,6
439,64,86,98,82,6
440,84,75,70,81,7
441,84,85,85,82,5
442,93,91,98,86,4
443,60,70,60,90,10
444,82,87,82,97,10
445,77,76,79,62,4
446,71,70,72,74,2
447,66,93,92,86,5
448,77,66,99,88,1
449,70,90,89,71,5
450,81,75,78,68,3
451,74,96,64,81,9
452,81,80,83,61,4
453,100,68,96,83,3
454,88,76,93,63,4
455,70,81,64,93,10
456,89,72,81,66,3
457,90,66,72,97,8
458,94,90,94,89,3
459,73,84,72,85,10
460,66,89,87,79,5
461,79,92,96,73,6
462,81,86,100,75,6
463,75,100,84,74,5
464,63,93,83,72,5
465,67,100,84,87,9
466,70,87,60,90,10
467,84,62,76,61,3
468,63,60,94,61,4
469,90,63,62,74,7
470,96,68,79,78,3
471,62,98,83,91,9
472,98,73,87,77,3
473,89,74,75,72,3
474,96,99,77,83,12
475,95,96,68,90,12
476,68,87,93,97,2
477,70,88,87,71,5
478,81,63,74,90,8
479,89,88,86,68,11
480,67,87,65,98,10
481,71,83,87,79,6
482,66,66,63,83,8
483,69,88,79,73,5
484,89,67,68,84,7
485,78,92,62,83,9
486,86,94,61,94,9
487,85,60,65,99,8
488,72,69,60,68,11
489,84,97,61,63,12
490,81,76,63,81,7
491,83,71,94,72,4
492,72,71,68,77,8
493,71,63,100,61,4
494,82,61,98,67,4
495,85,83,94,100,2
496,73,80,75,70,5
497,97,89,65,74,11
498,78,70,97,80,1
499,98,77,84,82,3
500,72,77,60,70,12
501,64,95,86,90,9
502,78,81,83,63,6
503,79,69,76,81,8
504,79,87,100,76,6
505,82,95,84,62,5
506,97,96,61,64,11
507,97,61,97,66,3
508,62,82,64,65,9
509,82,66,66,61,11
510,94,62,64,73,7
511,67,67,80,69,1
512,80,67,64,65,11
513,91,96,72,95,9
514,85,79,87,98,2
515,60,76,100,64,6
516,79,87,80,82,9
517,92,64,86,69,3
518,74,72,60,66,11
519,66,91,89,86,5
520,82,64,73,72,3
521,70,92,97,70,6
522,98,66,90,61,3
523,98,69,89,65,3
524,67,72,64,67,12
525,92,77,82,60,3
526,80,67,77,80,7
527,88,78,95,60,4
528,67,96,81,99,10
529,89,85,88,70,3
530,73,83,60,74,9
531,85,96,90,73,5
532,99,83,75,91,7
533,98,98,70,90,11
534,73,70,67,90,8
535,67,80,67,68,9
536,87,95,76,65,12
537,100,94,75,81,11
538,85,63,74,93,8
539,70,76,70,83,10
540,74,62,83,86,2
541,86,94,77,73,12
542,92,100,99,67,5
543,74,91,83,99,10
544,90,76,88,69,3
545,75,81,69,65,12
546,70,74,66,71,9
547,74,62,94,70,4
548,73,83,61,95,10
549,71,70,61,61,11
550,73,87,60,86,9
551,86,62,63,90,8
552,84,98,86,80,5
553,63,81,72,60,5
554,88,96,67,74,12
555,77,80,61,77,12
556,61,91,71,96,10
557,70,66,60,62,11
558,88,84,60,64,11
559,99,95,75,89,11
560,65,73,87,91,2
561,86,91,89,67,5
562,68,94,86,79,5
563,95,98,66,85,12
564,62,89,91,99,2
565,73,70,74,91,2
566,87,62,83,62,3
567,90,93,92,84,5
568,79,61,87,80,1
569,90,74,80,94,8
570,85,61,93,100,2
571,77,97,99,88,6
572,96,63,70,60,3
573,71,83,95,92,1
574,70,94,90,63,5
575,71,86,100,62,6
576,76,65,88,92,2
577,68,91,65,74,9
578,68,71,82,98,2
579,99,88,88,76,11
580,79,69,97,69,4
581,77,100,95,60,5
582,68,84,64,90,10
583,63,70,70,60,5
584,79,68,93,84,1
585,91,64,63,70,7
586,65,63,94,86,1
587,96,94,67,89,11
588,75,77,74,71,12
589,68,63,100,68,4
590,69,71,64,84,10
591,100,79,82,75,3
592,66,66,76,64,4
593,66,71,77,64,6
594,80,62,83,82,1
595,62,76,97,85,1
596,74,77,89,85,1
597,79,80,74,78,12
598,70,64,86,95,2
599,100,74,98,95,3
600,89,88,85,96,8
601,93,77,87,68,3
602,82,63,88,85,1
603,61,99,85,66,5
604,74,98,77,75,5
605,85,96,96,90,5
606,75,99,91,68,5
607,89,99,90,96,9
608,93,72,77,97,8
609,93,81,63,88,7
610,83,83,71,84,8
611,68,63,74,60,4
612,62,100,73,89,9
613,82,96,73,82,12
614,75,98,100,89,6
615,84,88,84,66,12
616,74,98,71,68,12
617,86,78,65,64,11
618,96,78,70,76,11
619,95,70,68,77,7
620,80,99,92,74,5
621,90,87,62,89,7
622,87,90,61,72,12
623,78,65,94,100,2
624,78,95,92,65,5
625,73,72,82,60,4
626,86,82,78,68,11
627,77,86,72,98,10
628,93,77,99,67,4
629,89,63,68,68,3
630,94,76,90,85,3
631,60,85,68,66,5
632,74,73,61,70,11
633,91,90,72,70,11
634,100,84,90,89,3
635,95,61,69,83,7
636,75,64,90,99,2
637,70,65,83,78,1
638,72,76,66,74,9
639,74,84,86,81,6
640,68,70,99,76,1
641,88,92,68,97,10
642,62,65,64,99,10
643,87,81,62,71,11
644,64,88,95,61,6
645,62,100,87,69,5
646,87,79,82,84,7
647,79,63,70,83,8
648,82,83,90,98,2
649,75,94,89,92,9
650,68,67,84,64,4
651,69,79,96,74,6
652,91,89,76,91,7
653,92,67,85,88,7
654,75,90,99,85,6
655,63,83,60,67,9
656,93,71,68,99,8
657,88,73,97,97,1
658,61,68,99,80,1
659,75,66,88,87,1
660,88,73,74,76,7
661,62,100,92,95,9
662,67,90,77,74,5
663,73,100,81,63,5
664,71,60,100,66,4
665,96,96,64,76,11
666,74,62,95,95,1
667,90,82,79,68,11
668,82,76,62,74,11
669,77,99,84,84,5
670,100,75,72,64,11
671,75,86,86,81,5
672,98,90,77,97,7
673,91,73,80,84,7
674,84,85,87,78,6
675,68,84,90,66,6
676,87,81,64,91,8
677,100,90,95,97,7
678,70,73,86,63,6
679,70,68,82,78,1
680,92,88,73,97,8
681,76,88,72,67,12
682,76,92,74,98,10
683,74,63,90,97,2
684,76,89,88,74,5
685,69,61,90,61,4
686,81,63,100,85,1
687,68,92,86,100,10
688,97,62,87,94,7
689,85,86,60,64,12
690,66,60,96,74,1
691,88,62,68,74,7
692,89,96,93,100,10
693,93,75,92,87,3
694,91,83,91,99,8
695,95,78,70,72,11
696,84,63,87,77,4
697,65,96,81,60,5
698,76,88,86,76,5
699,63,70,87,95,2
700,77,89,74,95,10
701,96,95,64,81,11
702,72,63,61,64,7
703,87,99,97,84,5
704,97,75,96,83,3
705,92,96,90,71,12
706,86,80,84,73,3
707,67,89,67,72,9
708,67,60,87,90,2
709,72,86,60,79,9
710,87,87,60,95,8
711,65,81,61,100,10
712,78,75,84,60,4
713,96,67,64,64,11
714,64,63,93,82,1
715,66,88,95,89,1
716,68,86,89,83,6
717,66,93,90,61,5
718,87,90,65,67,12
719,76,72,92,65,4
720,89,79,71,62,11
721,92,88,64,74,11
722,89,83,95,73,4
723,67,78,75,92,10
724,61,62,85,78,1
725,67,86,70,66,5
726,75,62,69,64,3
727,65,86,92,99,2
728,74,96,73,73,12
729,68,99,79,91,9
730,82,88,95,83,6
731,93,100,76,85,12
732,96,74,60,87,7
733,60,100,77,99,9
734,97,87,95,92,3
735,76,68,97,93,1
736,97,69,77,68,3
737,80,82,92,72,6
738,69,60,76,94,2
739,68,89,83,95,10
740,74,71,91,71,4
741,96,92,65,85,11
742,100,96,81,89,11
743,82,74,70,92,8
744,76,72,95,83,1
745,69,93,68,97,10
746,60,63,72,84,2
747,71,64,80,75,1
748,64,96,76,72,5
749,80,62,98,74,4
750,95,61,73,98,8
751,67,87,82,86,9
752,96,89,74,75,11
753,70,99,82,63,5
754,74,72,87,71,4
755,85,61,71,73,7
756,84,88,89,61,6
757,63,89,68,70,9
758,74,61,76,75,1
759,94,85,66,89,7
760,66,76,64,86,10
761,74,99,62,99,9
762,91,65,68,79,7
763,87,92,60,70,12
764,70,64,76,76,1
765,66,79,84,92,2
766,98,60,98,68,3
767,97,90,61,62,11
768,70,91,65,87,9
769,77,66,97,63,4
770,65,65,67,90,2
771,97,83,86,82,3
772,92,95,96,63,6
773,67,94,67,69,9
774,70,89,94,90,1
775,81,73,84,98,2
776,97,84,76,100,8
777,75,90,66,85,9
778,88,86,88,65,3
779,62,67,96,96,1
780,86,70,92,88,1
781,63,96,87,96,9
782,90,78,84,79,3
783,62,68,61,76,10
784,64,81,92,82,1
785,98,68,86,72,3
786,87,84,79,93,8
787,79,85,83,88,10
788,77,87,69,64,12
789,89,78,75,71,11
790,86,83,89,70,4
791,83,95,87,70,5
792,75,63,93,99,2
793,94,88,89,80,3
794,88,89,92,62,6
795,93,84,100,91,4
796,74,76,65,83,10
797,100,100,60,79,11
798,97,68,89,61,3
799,72,89,73,69,5
800,62,64,97,76,1
801,91,91,87,62,11
802,96,65,98,70,4
803,72,100,79,99,9
804,61,68,75,88,2
805,61,100,61,61,12
806,73,76,80,72,6
807,65,67,73,91,2
808,81,80,91,67,4
809,91,66,82,82,3
810,85,85,66,77,11
811,88,65,94,73,4
812,78,87,100,77,6
813,90,68,68,90,7
814,98,98,67,81,11
815,96,73,95,71,3
816,69,61,61,88,8
817,75,92,86,84,5
818,71,69,80,79,1
819,62,83,90,78,6
820,61,75,71,96,10
821,98,100,90,65,12
822,73,73,65,99,8
823,79,72,73,96,8
824,65,63,92,84,1
825,87,69,88,100,2
826,83,77,62,70,11
827,61,93,71,76,9
828,79,94,96,62,6
829,91,100,84,64,12
830,90,85,73,99,8
831,81,92,73,90,9
832,73,89,85,75,5
833,87,68,83,62,3
834,93,76,85,87,7
835,72,78,73,83,10
836,73,98,94,100,10
837,77,66,90,73,4
838,87,66,89,96,2
839,83,94,82,65,12
840,86,75,68,67,11
841,95,72,61,89,7
842,82,71,96,93,1
843,95,85,81,81,11
844,98,91,79,99,8
845,75,72,75,90,8
846,85,93,78,91,9
847,70,77,100,79,1
848,90,81,76,69,11
849,65,83,89,62,6
850,66,71,67,79,10
851,86,87,95,96,2
852,71,88,85,92,10
853,92,91,100,90,4
854,84,81,63,92,8
855,66,82,91,96,2
856,66,60,64,86,8
857,60,78,64,100,10
858,65,93,88,95,10
859,98,86,72,89,7
860,91,86,68,65,11
861,80,79,64,82,8
862,87,83,62,79,11
863,99,91,74,76,11
864,93,61,87,78,3
865,66,88,71,96,10
866,93,86,88,61,3
867,78,94,88,66,5
868,94,81,91,88,3
869,93,95,94,100,10
870,87,80,83,76,3
871,73,90,75,67,5
872,70,80,75,63,5
873,76,89,79,76,5
874,74,78,81,72,6
875,76,64,80,61,4
876,80,80,81,60,4
877,69,86,60,69,12
878,68,67,65,69,8
879,78,93,72,62,12
880,100,75,73,80,7
881,70,85,91,82,6
882,69,80,87,74,6
883,86,91,68,67,12
884,64,74,92,82,1
885,60,96,77,71,5
886,69,69,91,97,2
887,84,72,89,96,2
888,78,69,84,85,2
889,76,89,77,98,10
890,83,70,66,86,8
891,66,79,76,69,5
892,97,89,99,89,4
893,93,69,95,73,4
894,82,72,86,67,4
895,91,89,75,69,11
896,90,82,94,91,1
897,97,78,97,62,3
898,83,77,72,82,7
899,100,78,78,61,11
900,88,82,78,68,11
901,77,72,86,83,1
902,73,78,73,90,10
903,97,69,88,80,3
904,61,69,77,77,1
905,64,72,83,86,2
906,100,99,92,93,11
907,81,71,100,75,4
908,82,90,60,61,12
909,69,87,97,67,6
910,86,96,88,100,10
911,79,72,65,62,11
912,95,82,90,88,3
913,81,89,88,89,9
914,65,62,91,85,1
915,89,70,69,96,8
916,87,73,79,98,8
917,99,77,89,72,3
918,78,100,74,84,9
919,64,93,74,71,5
920,87,66,86,61,3
921,100,65,93,66,3
922,100,67,78,80,7
923,100,90,100,90,3
924,68,67,74,71,1
925,85,80,80,100,8
926,69,98,65,85,9
927,84,73,93,64,4
928,98,73,63,98,7
929,91,98,86,70,12
930,95,92,78,89,11
931,75,63,77,94,2
932,69,67,78,87,2
933,80,71,68,86,8
934,79,86,92,83,6
935,97,87,72,70,11
936,76,88,89,74,6
937,92,75,100,83,4
938,64,80,62,95,10
939,90,83,68,92,8
940,67,67,66,68,8
941,80,91,91,88,5
942,78,70,68,79,8
943,84,95,95,72,5
944,61,61,80,81,2
945,64,99,65,63,5
946,64,71,75,66,6
947,63,62,80,66,1
948,81,89,74,73,12
949,89,77,63,91,8
950,77,88,97,88,6
951,78,80,84,98,2
952,80,81,86,79,6
953,69,71,76,66,6
954,93,63,61,67,7
955,60,100,87,87,5
956,77,93,95,83,6
957,94,83,87,62,3
958,80,92,73,86,9
959,69,86,80,89,10
960,79,87,94,86,6
961,93,98,60,83,12
962,99,87,65,78,11
963,82,61,67,60,3
964,70,71,77,99,2
965,79,62,85,95,2
966,92,97,100,83,6
967,71,89,61,86,9
968,71,88,62,70,12
969,62,87,84,64,5
970,88,75,96,96,1
971,87,81,90,74,4
972,77,96,86,92,9
973,70,61,90,95,2
974,69,64,76,87,2
975,80,72,83,95,2
976,80,93,76,62,12
977,69,62,93,92,1
978,62,97,79,71,5
979,88,76,83,64,3
980,68,79,89,80,1
981,82,68,65,78,7
982,60,75,87,79,1
983,70,93,73,87,9
984,64,96,99,93,6
985,75,74,98,80,1
986,70,93,81,88,9
987,66,79,89,65,6
988,84,80,92,89,1
989,94,61,94,76,3
990,87,72,77,90,8
991,97,79,79,100,8
992,72,85,76,66,5
993,68,75,60,64,12
994,90,61,82,60,3
995,99,90,77,62,11
996,87,70,86,99,8
997,73,65,88,66,4
998,78,62,71,72,7
999,100,82,93,64,3
1000,100,88,65,70,11
1001,94,99,67,70,12
1002,80,74,63,90,8
1003,96,96,88,84,11
1004,72,80,74,97,10
1005,65,73,64,69,9
1006,64,77,64,83,10
1007,84,77,63,100,8
1008,99,86,87,70,3
1009,86,78,95,67,4
1010,80,93,67,63,12
1011,73,85,93,80,6
1012,74,69,64,90,8
1013,62,90,62,70,9
1014,61,61,69,100,2
1015,95,68,68,95,7
1016,81,99,77,71,12
1017,76,98,60,62,12
1018,69,61,71,94,2
1019,89,99,76,85,12
1020,93,78,86,84,3
1021,78,77,78,100,8
1022,69,84,79,91,10
1023,93,83,90,96,8
1024,88,88,67,61,11
1025,84,69,77,73,3
1026,82,72,72,80,7
1027,89,75,73,65,11
1028,72,94,67,80,9
1029,85,92,78,98,10
1030,71,96,99,78,6
1031,88,76,97,96,1
1032,84,74,98,83,4
1033,89,100,89,71,12
1034,77,85,81,98,10
1035,77,79,91,83,1
1036,72,93,72,79,9
1037,71,71,86,99,2
1038,79,91,86,73,5
1039,76,72,67,97,8
1040,92,73,96,89,4
1041,66,92,68,85,9
1042,99,75,65,62,11
1043,97,95,92,92,11
1044,80,98,86,73,5
1045,72,72,95,77,1
1046,85,80,66,90,8
1047,99,81,82,61,3
1048,82,77,80,84,8
1049,69,70,86,93,2
1050,85,90,79,61,12
1051,69,87,62,77,9
1052,65,98,60,95,9
1053,87,83,69,81,11
1054,94,95,63,76,12
1055,90,99,96,78,5
1056,100,74,78,60,3
1057,69,95,97,83,6
1058,83,77,79,91,8
1059,98,63,78,70,3
1060,99,98,84,69,11
1061,61,64,90,76,1
1062,94,80,99,75,4
1063,76,77,64,66,12
1064,94,95,76,69,12
1065,100,91,89,69,11
1066,79,79,98,91,1
1067,76,68,79,79,1
1068,84,84,86,64,4
1069,66,61,69,80,2
1070,92,62,64,100,8
1071,85,79,60,91,8
1072,68,74,92,99,2
1073,97,90,63,74,11
1074,67,89,82,78,5
1075,71,90,92,89,6
1076,97,60,74,91,7
1077,70,78,79,63,6
1078,100,85,92,85,3
1079,60,89,96,89,6
1080,99,65,81,73,3
1081,71,79,76,71,5
1082,95,85,90,63,3
1083,75,99,83,63,5
1084,64,96,82,99,10
1085,83,64,91,69,4
1086,96,81,89,83,3
1087,64,93,82,77,5
1088,74,87,74,65,12
1089,73,67,79,99,2
1090,82,81,93,95,2
1091,64,97,89,77,5
1092,60,75,62,100,10
1093,75,63,86,80,1
1094,79,68,93,92,1
1095,100,92,86,95,7
1096,79,75,77,66,3
1097,74,80,69,62,12
1098,70,87,69,89,10
1099,82,62,61,76,7
1100,61,71,64,90,10
1101,77,80,81,99,2
1102,96,90,84,86,11
1103,78,76,74,73,11
1104,95,91,91,87,11
1105,91,93,76,96,10
1106,61,91,65,100,10
1107,62,76,81,64,6
1108,89,71,67,69,11
1109,77,69,80,60,4
1110,90,95,61,66,12
1111,84,81,83,74,3
1112,61,84,86,66,6
1113,99,96,70,60,11
1114,74,75,93,84,1
1115,83,91,92,67,6
1116,97,71,74,87,7
1117,98,96,89,98,7
1118,74,100,67,62,12
1119,86,85,73,75,11
1120,75,88,61,75,12
1121,62,91,92,67,6
1122,80,92,62,67,12
1123,95,91,63,91,11
1124,95,79,89,92,7
1125,89,89,79,79,11
1126,62,90,79,61,5
1127,80,90,64,63,12
1128,88,75,85,89,8
1129,71,87,91,94,2
1130,99,71,65,60,11
1131,90,61,86,62,3
1132,90,73,70,63,11
1133,71,94,66,60,12
1134,60,73,71,99,10
1135,67,70,97,80,1
1136,95,79,96,94,4
1137,74,99,69,62,12
1138,72,64,77,77,1
1139,85,65,88,82,4
1140,63,69,94,63,6
1141,89,65,99,85,4
1142,99,90,80,79,11
1143,75,75,74,89,8
1144,94,95,93,88,12
1145,94,81,79,93,7
1146,95,96,94,92,12
1147,97,71,87,98,8
1148,62,92,97,93,1
1149,63,75,71,69,5
1150,73,85,88,83,6
